Date - Time,Lat,Long,Depth,Mag,Location,
29 December 2019 - 09:40 AM,6.57,125.16,27,2.3,011 km S 35° W of Kiblawan (Davao Del Sur),
29 December 2019 - 08:49 AM,15.62,121.79,38,1.7,029 km S 59° E of Baler (Aurora),
29 December 2019 - 08:19 AM,8.75,126.05,13,2.2,014 km N 21° W of Lianga (Surigao Del Sur),
29 December 2019 - 07:49 AM,15.44,121.77,31,2.4,042 km S 33° E of Baler (Aurora),
29 December 2019 - 07:34 AM,6.36,125.36,65,2.9,016 km N 47° E of Malungon (Sarangani),
29 December 2019 - 07:07 AM,8.76,126.48,30,3.1,021 km S 77° E of Marihatag (Surigao Del Sur),
29 December 2019 - 06:41 AM,6.64,125.22,19,1.9,002 km S 15° E of Kiblawan (Davao Del Sur),
29 December 2019 - 05:28 AM,6.81,125.25,1,2.8,006 km N 58° E of Bansalan (Davao Del Sur),
29 December 2019 - 05:24 AM,18.44,120.79,33,1.9,009 km S 08° W of Dumalneg (Ilocos Norte),
29 December 2019 - 04:36 AM,6.58,125.25,22,3.2,009 km S 24° E of Kiblawan (Davao Del Sur),
29 December 2019 - 03:43 AM,6.59,125.3,1,3.4,005 km S 79° W of Sulop (Davao Del Sur),
29 December 2019 - 03:12 AM,17.05,120.43,16,3,012 km N 07° W of Tagudin (Ilocos Sur),
29 December 2019 - 02:43 AM,6.44,125.3,20,2.2,019 km S 16° W of Sulop (Davao Del Sur),
29 December 2019 - 02:41 AM,6.53,125.31,27,2.3,009 km S 23° W of Sulop (Davao Del Sur),
29 December 2019 - 02:12 AM,6.48,125.23,2,2.4,019 km S 45° W of Sulop (Davao Del Sur),
29 December 2019 - 01:05 AM,17.48,120.17,20,2.5,023 km S 59° W of Santa Catalina (Ilocos Sur),
29 December 2019 - 12:57 AM,13.13,120.59,28,2.7,011 km S 01° W of Mamburao (Occidental Mindoro),
29 December 2019 - 12:20 AM,6.42,125.1,30,2.6,022 km S 48° E of Lutayan (Sultan Kudarat),
28 December 2019 - 09:57 PM,6.55,125.32,1,2.3,006 km S 30° W of Sulop (Davao Del Sur),
28 December 2019 - 09:50 PM,6.49,125.25,2,2.4,016 km S 39° W of Sulop (Davao Del Sur),
28 December 2019 - 09:43 PM,18.04,120.4,32,2,008 km N 77° W of Currimao (Ilocos Norte),
28 December 2019 - 09:37 PM,6.76,124.83,33,1.7,010 km S 04° E of Tulunan (Cotabato),
28 December 2019 - 09:23 PM,7.11,125.23,20,2.1,013 km N 82° E of Magpet (Cotabato),
28 December 2019 - 09:15 PM,7.12,125.34,6,2.7,031 km N 78° W of Davao City (Davao Del Sur),
28 December 2019 - 09:10 PM,6.59,125.22,5,3,007 km S 01° E of Kiblawan (Davao Del Sur),
28 December 2019 - 08:48 PM,7.65,124.94,9,2.3,006 km N 19° E of Kadingilan (Bukidnon),
28 December 2019 - 04:38 PM,5.31,127.3,34,4,198 km S 71° E of Jose Abad Santos (Davao Occidental),
28 December 2019 - 04:07 PM,6.5,125.32,11,3.2,018 km S 72° W of Santa Maria (Davao Occidental),
28 December 2019 - 03:03 PM,6.57,125.25,16,2.5,010 km S 74° W of Sulop (Davao Del Sur),
28 December 2019 - 02:22 PM,6.61,125.24,19,2.5,005 km S 34° E of Kiblawan (Davao Del Sur),
28 December 2019 - 11:42 AM,6.86,124.83,25,2.5,023 km N 39° E of President Quirino (Sultan Kudarat),
28 December 2019 - 11:27 AM,6.74,125.12,7,3.6,014 km N 50° W of Kiblawan (Davao Del Sur),
28 December 2019 - 10:30 AM,6.78,127.01,16,2.8,069 km S 65° E of Tarragona (Davao Oriental),
28 December 2019 - 09:59 AM,5.24,126.14,64,4,077 km S 74° E of Sarangani (Davao Occidental),
28 December 2019 - 09:52 AM,6.51,124.98,4,2.9,010 km N 65° E of Tampakan (South Cotabato),
28 December 2019 - 09:12 AM,19.84,120.93,1,3.1,112 km S 61° W of Sabtang (Batanes),
